Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"David White (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Whitney (Australia)
            - ODI Cricket",,,,,,,,,,,,,,1,,,,6,5,,,2,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pramodya Wickremasinghe (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,0,,35,29,41,9,26,,42,112,11,34,5,,,,,,,,,,,,,,,,,
"Gamini Wickremasinghe (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julien Wiener (Australia)
            - ODI Cricket",,,,,,,,,,57,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kapila Wijegunawardene (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,8,3,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Wijesuriya (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,0,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peter Willey (England)
            - ODI Cricket",,,,,,,,7,,244,124,100,,,,12,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Williams (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,6,0,10,23,55,25,,,,28,,,,,,,,,,,,,,,,,,,,,,
"Bob Willis (England)
            - ODI Cricket",,,,9,0,,,7,0,27,0,3,2,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barry Wood (England)
            - ODI Cricket",,,19,,,130,38,,34,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graeme Wood (Australia)
            - ODI Cricket",,,,,,,,,33,87,24,658,317,379,39,603,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashley Woodcock (Australia)
            - ODI Cricket",,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Woolley (Australia)
            - ODI Cricket",,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Woolmer (England)
            - ODI Cricket",,,9,,0,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Wright (New Zealand)
            - ODI Cricket",,,,,,,,,48,166,201,378,23,598,166,187,320,252,742,102,465,122,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kevin Wright (Australia)
            - ODI Cricket",,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nandlal Yadav (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vijay Yadav (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,37,81,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Graham Yallop (Australia)
            - ODI Cricket",,,,,,,,,19,125,63,111,,396,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bruce Yardley (Australia)
            - ODI Cricket",,,,,,,,,7,,,28,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryan Young (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,92,30,,92,606,177,102,261,171,137,,,,,,,,,,,,,,,,,,,,
"Waqar Younis (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,9,31,38,47,126,41,43,92,44,67,11,190,116,97,17,,,,,,,,,,,,,,,,
"Saleem Yousuf (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,0,,1,8,76,191,137,28,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timothy Zoehrer (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,17,104,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
"Zulquarnain (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,4,12,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ruwan Kalpage (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,90,228,325,96,11,23,37,34,,,,,,,,,,,,,,,,,,,,
"Pubudu Dassanayake (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,25,60,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumar Dharmasena (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,46,102,238,252,211,,9,174,8,156,26,,,,,,,,,,,,,,,
"Clive Eksteen (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Matthew Hart (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,49,,0,,,0,,,12,,,,,,,,,,,,,,,,,
"Matthew Hayden (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,102,184,,,,,,191,311,878,1037,946,482,103,1601,298,,,,,,,,,,,
"Stephen Fleming (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,348,514,708,423,806,332,577,457,772,681,921,439,390,669,,,,,,,,,,,,
"Nayan Mongia (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,105,134,338,130,373,188,4,,,,,,,,,,,,,,,,,,,
"Shivnarine Chanderpaul (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,49,260,515,599,158,960,104,448,624,246,668,650,948,912,578,531,398,130,,,,,,,,
"Stuart Williams (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,300,341,97,626,137,85,,,,,,,,,,,,,,,,,,,,
"Dulip Samaraweera (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,28,63,,,,,,,,,,,,,,,,,,,,,,,,,
"Glen Bruk-Jackson (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Dekker (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,134,116,84,5,40,,,,,,,,,,,,,,,,,,,,,,,
"Stephen Peall (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,1,54,23,4,9,,,,,,,,,,,,,,,,,,,,,,,
"John Rennie (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,27,20,,34,22,36,20,24,,,,,,,,,,,,,,,,,,,
"Heath Streak (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,25,46,63,161,128,332,136,401,556,118,469,317,191,,,,,,,,,,,,,,
"Guy Whittall (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,106,57,106,233,526,332,371,499,383,33,59,,,,,,,,,,,,,,,,
"Steven Rhodes (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,9,,,,,76,22,,,,,,,,,,,,,,,,,,,,,,,,
"Craig White (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,0,,113,74,,,146,4,152,79,,,,,,,,,,,,,,,,
"Gavin Larsen (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,2,17,59,123,136,107,11,103,,71,,,,,,,,,,,,,,,,,,,,
"Heath Davis (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,0,,,13,,,,,,,,,,,,,,,,,,,,,,
"Wayne James (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,35,14,52,,0,,,,,,,,,,,,,,,,,,,,,,,
"Ashfaq Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Darren Gough (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,10,68,95,30,18,108,30,56,40,14,45,76,19,,,,,,,,,,,,,
"John Crawley (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,18,16,10,136,,55,,,,,,,,,,,,,,,,,,,,
"Joseph Benjamin (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Ravindra Pushpakumara (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,17,3,14,2,0,0,,,,,,,,,,,,,,,,,,,,
"Sanjeeva Ranatunga (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,222,26,5,,,,,,,,,,,,,,,,,,,,,,,
"Chaminda Vaas (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,47,72,191,43,69,232,210,215,253,149,105,117,168,63,91,,,,,,,,,,,
"Kabir Khan (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,5,,3,,,,,,,,,,,,,,,,,,,
"Michael Bevan (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,432,94,760,728,959,949,881,581,466,784,278,,,,,,,,,,,,,,,
"Damien Fleming (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,4,10,5,,11,18,53,51,,,,,,,,,,,,,,,,,,
"Philip Emery (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
"Paul Strang (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,38,68,226,363,260,60,56,19,,,,,,,,,,,,,,,,,,
"Darrin Murray (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
"Cameron Cuffy (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,20,,1,4,,,,28,9,,,,,,,,,,,,,,,,,
"Rajindra Dhanraj (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,
"Aashish Kapoor (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,6,37,,,,0,,,,,,,,,,,,,,,,,,,
"Steven Jack (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,
"Phillipus Steyn (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
"Greg Blewett (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,111,81,282,,77,,,,,,,,,,,,,,,,,,,,
"Sherwin Campbell (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,3,438,262,138,,747,621,74,,,,,,,,,,,,,,,,,,
"Stuart Carlisle (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,13,53,13,,374,686,1082,151,,304,64,,,,,,,,,,,,,,
"Bryan Strang (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,4,13,21,,0,43,11,,,,,,,,,,,,,,,,,,
"Iain Butchart (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,82,,,,98,,,,,60,0,10,2,,,,,,,,,,,,,,,,,,,,,,,,
"Henry Olonga (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,0,19,21,2,44,3,,,,,,,,,,,,,,,,
"Courtney Browne (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,53,102,17,,,15,0,,,35,193,,,,,,,,,,,,,,
"Kerry Walmsley (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"Chamara Dunusinghe (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Peter Martin (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,4,29,,5,,,,,,,,,,,,,,,,,,,,,
"Dominic Cork (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,0,11,0,14,67,40,,,,42,6,,,,,,,,,,,,,,,,,
"Ottis Gibson (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,50,88,3,,,,,,,,,,,,,,,,,,,,,,
"Nicholas Knight (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,277,245,661,437,304,522,852,339,,,,,,,,,,,,,,,,
"Michael Watkinson (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
"Alan Wells (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
"Saleem Elahi (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,311,126,26,46,,135,161,466,183,125,,,,,,,,,,,,,,,
"Saqlain Mushtaq (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,30,132,182,71,94,109,32,44,17,,,,,,,,,,,,,,,,
"Mohammad Akram (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,8,3,2,0,0,1,,,,,,,,,,,,,,,,,,,
"Ijaz Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
"Craig Wishart (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,62,171,411,0,112,473,54,433,,3,,,,,,,,,,,,,,
"Alan Lock (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
"Lee Germon (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,0,90,385,44,,,,,,,,,,,,,,,,,,,,,,
"Roger Twose (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,221,391,38,,823,1067,177,,,,,,,,,,,,,,,,,,
"Shaun Pollock (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,160,438,289,278,185,110,362,170,278,286,379,541,43,,,,,,,,,,,
"Stuart Law (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,117,111,593,324,61,31,,,,,,,,,,,,,,,,,,,,
"Ricky Ponting (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,196,733,75,1166,1038,510,828,882,1154,840,1191,798,1424,278,1198,771,604,18,,,,,,,
"Craig Spearman (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,94,391,6,40,143,257,5,,,,,,,,,,,,,,,,,,
"Jacques Kallis (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,275,519,812,944,1300,848,1204,595,770,687,373,987,557,538,593,370,126,76,5,,,,,
"Paul Adams (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,15,0,2,6,0,33,,,,,,,,,,,,,,,,
"Kelaniyage Silva (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Nathan Astle (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,414,560,647,891,569,845,735,619,260,490,428,586,46,,,,,,,,,,,,
"Robert Kennedy (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
"Geoffrey Allott (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,7,3,,,,,,,,,,,,,,,,,,,
"Robert Samuels (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,7,47,,,,,,,,,,,,,,,,,,,,,,
"Patterson Thompson (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"Vikram Rathore (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,159,34,,,,,,,,,,,,,,,,,,,,,,
"Sunil Joshi (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,114,13,54,206,178,19,,,,,,,,,,,,,,,,,,
"Paras Mhambrey (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0,,,,,,,,,,,,,,,,,,,,,
"Venkatesh Prasad (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,0,9,41,25,44,58,34,10,,,,,,,,,,,,,,,,,,
"Alan Mullally (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,2,21,19,22,,,,,,,,,,,,,,,,,,
"Ronald Irani (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,69,9,,,,,215,67,,,,,,,,,,,,,,,,
"Sourav Ganguly (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,3,,,,269,1338,1328,1767,1579,813,1114,756,947,209,,1240,,,,,,,,,,,,
"Rahul Dravid (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,475,951,283,1761,980,740,913,623,1025,1092,919,823,,180,,124,,,,,,,,
"Mark Ealham (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,40,47,188,171,238,32,,,,,,,,,,,,,,,,,,
"Shadab Kabir (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
"Robert Croft (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,15,86,79,120,10,35,,,,,,,,,,,,,,,,,,
"Craig Evans (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,35,,,8,211,237,174,2,,,97,,,,,,,,,,,,,,,,,
"Andrew Whittall (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,103,36,1,,,,,,,,,,,,,,,,,,,
"Brad Hogg (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,0,226,148,95,113,85,85,,,,,,,,,,,
"Shahid Nazir (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,17,8,,0,0,,,,,,,,,,,,,,,,,,,
"Azam Khan (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,113,,3,,,,,,,,,,,,,,,,,,,,,
"Hasan Raza (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,29,47,46,120,,,,,,,,,,,,,,,,,,,,
"Mohammad Hussain (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,51,103,,,,,,,,,,,,,,,,,,,,,
"Everton Matambanadzo (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,
"Mpumelelo Mbangwa (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,13,0,9,,1,,,,,,,,,,,,,,,,,
"Matthew Elliott (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Michael Kasprowicz (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,0,,45,15,2,,,,0,11,1,,,,,,,,,,,,,,
"Mohammad Wasim (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,89,296,114,,44,,,,,,,,,,,,,,,,,,,
"Zahoor Elahi (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,215,82,,,,,,,,,,,,,,,,,,,,,,
"V V S Laxman (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,24,541,613,232,837,29,0,,,,,,,,,,,,,
"Herschelle Gibbs (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,83,149,60,805,576,846,1310,693,398,726,696,880,413,425,34,,,,,,,,,
"Lance Klusener (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,95,472,297,854,817,245,510,91,195,,,,,,,,,,,,,,,
"Jason Gillespie (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,8,57,,16,24,9,46,7,56,66,,,,,,,,,,,,,,
"Mohammad Zahid (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,14,,,,0,,,,,,,,,,,,,,,,,
"Andrew Waller (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,125,,,,,224,96,43,15,210,105,,,,,,,,,,,,,,,,,,,,,,
"Christopher Silverwood (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,,0,,,,,,,,,,,,,,,,,,
"Adam Bacher (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,123,45,,,,,,,102,,,,,,,,,,,,,,
"Doddanarasiah Ganesh (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
"Adrian Griffith (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,1,49,,4,45,,,,,,,,,,,,,,,,,,,
"Andy Bichel (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,42,57,,,,92,243,37,,,,,,,,,,,,,,,
"Daniel Vettori (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,71,65,72,48,86,139,107,135,257,221,110,145,259,324,66,,5,41,102,,,,
"Matthew Horne (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,267,152,421,,,140,,,,,,,,,,,,,,,,,
"Franklyn Rose (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,56,27,,134,,,,,,,,,,,,,,,,,,,
"Roland Holder (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,75,111,106,194,113,,,,,,,,,,,,,,,,,,,,,,
"Abey Kuruvilla (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,
"Nuwan Zoysa (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,33,24,117,47,,102,11,,0,,,,,,,,,,,,
"Sajeewa de Silva (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0,3,1,,,,,,,,,,,,,,,,,,,
"Merwyn Dillon (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,61,73,12,5,44,15,12,,,,,,,,,,,,,,
"Russel Arnold (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,505,530,851,753,157,101,380,446,213,,,,,,,,,,,,
"Floyd Reifer (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,22,,,,,,,,,,86,,,,,,,,,,
"Dean Headley (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,12,,,,,,,,,,,,,,,,,,,,
"Nilesh Kulkarni (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,
"Mahela Jayawardene (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,744,554,1260,791,313,676,522,1185,1089,617,669,509,1032,785,557,846,403,,,,
"Adam Hollioake (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,28,169,259,150,,,,,,,,,,,,,,,,,,,,
"Ben Hollioake (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,63,55,4,,137,50,,,,,,,,,,,,,,,,,
"Debashish Mohanty (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,1,18,,,,,,,,,,,,,,,,,,
"Adam Huckle (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,,,,,,,,,,,,,,,,,,,,
"Shayne O'Connor (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,1,2,,,,,,,,,,,,,,,,,,,
"Gavin Rennie (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,6,244,82,72,28,153,,50,,,,,,,,,,,,,,,,
"Azhar Mahmood (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,41,146,265,343,278,133,103,78,48,57,,29,,,,,,,,,,,,
"Mark Boucher (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,248,591,170,614,372,262,470,713,631,190,310,25,22,,,,,,,,
"Craig McMillan (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,272,467,325,361,666,851,273,484,449,2,557,,,,,,,,,,,,
"Lanka de Silva (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,
"Arshad Khan (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,0,,15,,6,21,38,25,,,,,28,0,,,,,,,,,,,,,
"Rawl Lewis (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,38,51,68,,,,,,,15,33,43,43,,,,,,,,,,
"Philo Wallace (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,155,59,,,,3,40,293,4,147,,,,,,,,,,,,,,,,,,,
"Shoaib Akhtar (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,12,25,5,12,151,47,36,12,1,,28,18,3,,,,,,,,
"Murray Goodwin (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,600,496,,,,,,,,,,,,,,,,,,,
"Stuart MacGill (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Nixon McLean (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,119,81,94,,5,,,,,,,,,,,,,,,,
"Mohammad Yousuf (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,570,1161,588,1362,1168,768,885,627,1042,592,301,177,,,,,,,,,
"Fazl-E-Akbar (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,
