Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Marvan Atapattu (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,8,,35,,,,84,879,744,787,942,1084,1192,812,729,498,592,143,,,,,,,,,,,,
"Michael Atherton (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,99,236,,,466,267,404,255,64,,,,,,,,,,,,,,,,,,,,,
"Charles Athey (England)
            - ODI Cricket",,,,,,,,,,,83,,,,,,142,619,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richard Austin (West Indies)
            - ODI Cricket",,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arshad Ayub (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,10,66,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirtivardhan Azad (India)
            - ODI Cricket",,,,,,,,,,,34,92,,56,56,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mohammad Azharuddin (India)
            - ODI Cricket",,,,,,,,,,,,,,,,444,528,517,481,282,522,229,652,769,689,286,931,1104,1268,408,268,,,,,,,,,,,,,,,,,,,
"Sheik Bacchus (West Indies)
            - ODI Cricket",,,,,,,,,0,,157,75,145,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Bailey (England)
            - ODI Cricket",,,,,,,,,,,,,,,,41,,11,43,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Bairstow (England)
            - ODI Cricket",,,,,,,,,,56,99,21,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sikander Bakht (Pakistan)
            - ODI Cricket",,,,,,,,0,16,3,0,3,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subroto Banerjee (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eldine Baptiste (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,5,106,8,,14,51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wasim Bari (Pakistan)
            - ODI Cricket",,,,21,0,3,2,2,31,26,0,4,18,81,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graham Barlow (England)
            - ODI Cricket",,,,,,,80,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim Barnett (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graeme Beard (Australia)
            - ODI Cricket",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bishen Bedi (India)
            - ODI Cricket",,,,,0,6,4,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenneth Benjamin (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,22,29,3,0,11,,,,,,,,,,,,,,,,,,,,,,,
"Winston Benjamin (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,10,63,12,33,,10,62,38,17,53,,,,,,,,,,,,,,,,,,,,,,,,
"Murray Bennett (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Benson (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carlisle Best (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,10,23,49,121,197,5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin Bicknell (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Binny (India)
            - ODI Cricket",,,,,,,,,,,49,143,41,173,115,31,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ian Bishop (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,2,47,24,75,34,41,,35,81,66,,,,,,,,,,,,,,,,,,,,,,
"Tony Blain (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,68,,178,,,,,114,82,,,,,,,,,,,,,,,,,,,,,,,,,
"Richard Blakey (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stephen Boock (New Zealand)
            - ODI Cricket",,,,,,,,,0,,2,,,,8,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Boon (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,39,264,768,656,582,327,417,326,798,417,1073,297,,,,,,,,,,,,,,,,,,,,,,,,
"Allan Border (Australia)
            - ODI Cricket",,,,,,,,,,200,219,454,346,428,438,830,595,642,212,533,540,329,212,221,325,,,,,,,,,,,,,,,,,,,,,,,,,
"Tertius Bosch (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sir Ian Botham (England)
            - ODI Cricket",,,,,,,21,32,80,145,156,159,188,275,91,101,51,394,,37,,8,375,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keith Boyce (West Indies)
            - ODI Cricket",,,,7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geoff Boycott (England)
            - ODI Cricket",,8,74,35,,,,0,9,493,350,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brendon Bracewell (New Zealand)
            - ODI Cricket",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
