,Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
35,Keith Arthurton ,West Indies,,,,,,,,,,,,,,,,,,,27.0,230.0,230.0,400.0,697.0,1158.0,1476.0,1650.0,1652.0,,1771.0,1904.0,,,,,,,,,,,,,,,,,,,,
36,Bharathi Arun ,India,,,,,,,,,,,,,,,,,8.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Marvan Atapattu ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,8.0,,43.0,,,,127.0,1006.0,1750.0,2537.0,3479.0,4563.0,5755.0,6567.0,7296.0,7794.0,8386.0,8529.0,,,,,,,,,,,,
38,Michael Atherton ,England,,,,,,,,,,,,,,,,,,,,,99.0,335.0,,,801.0,1068.0,1472.0,1727.0,1791.0,,,,,,,,,,,,,,,,,,,,,
39,Charles Athey ,England,,,,,,,,,,,83.0,,,,,,225.0,844.0,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Richard Austin ,West Indies,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Arshad Ayub ,India,,,,,,,,,,,,,,,,,,10.0,76.0,110.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Kirtivardhan Azad ,India,,,,,,,,,,,34.0,126.0,,182.0,238.0,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Mohammad Azharuddin ,India,,,,,,,,,,,,,,,,444.0,972.0,1489.0,1970.0,2252.0,2774.0,3003.0,3655.0,4424.0,5113.0,5399.0,6330.0,7434.0,8702.0,9110.0,9378.0,,,,,,,,,,,,,,,,,,,
44,Sheik Bacchus ,West Indies,,,,,,,,,0.0,,157.0,232.0,377.0,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Robert Bailey ,England,,,,,,,,,,,,,,,,41.0,,52.0,95.0,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,David Bairstow ,England,,,,,,,,,,56.0,155.0,176.0,,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sikander Bakht ,Pakistan,,,,,,,,0.0,16.0,19.0,19.0,22.0,25.0,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Subroto Banerjee ,India,,,,,,,,,,,,,,,,,,,,,,13.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Eldine Baptiste ,West Indies,,,,,,,,,,,,,,5.0,111.0,119.0,,133.0,184.0,184.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Wasim Bari ,Pakistan,,,,21.0,21.0,24.0,26.0,28.0,59.0,85.0,85.0,89.0,107.0,188.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Graham Barlow ,England,,,,,,,80.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
