,Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
588,Clive Eksteen ,South Africa,,,,,,,,,,,,,,,,,,,,,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
589,Matthew Hart ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,49.0,,,49.0,,,61.0,,,,,,,,,,,,,,,,,
590,Matthew Hayden ,Australia,,,,,,,,,,,,,,,,,,,,,,,,102.0,286.0,,,,,,477.0,788.0,1666.0,2703.0,3649.0,4131.0,4234.0,5835.0,6133.0,,,,,,,,,,,
591,Stephen Fleming ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,348.0,862.0,1570.0,1993.0,2799.0,3131.0,3708.0,4165.0,4937.0,5618.0,6539.0,6978.0,7368.0,8037.0,,,,,,,,,,,,
592,Nayan Mongia ,India,,,,,,,,,,,,,,,,,,,,,,,,,105.0,239.0,577.0,707.0,1080.0,1268.0,1272.0,,,,,,,,,,,,,,,,,,,
593,Shivnarine Chanderpaul ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,49.0,309.0,824.0,1423.0,1581.0,2541.0,2645.0,3093.0,3717.0,3963.0,4631.0,5281.0,6229.0,7141.0,7719.0,8250.0,8648.0,8778.0,,,,,,,,
594,Stuart Williams ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,300.0,641.0,738.0,1364.0,1501.0,1586.0,,,,,,,,,,,,,,,,,,,,
595,Dulip Samaraweera ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,28.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,
596,Glen Bruk-Jackson ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Mark Dekker ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,134.0,250.0,334.0,339.0,379.0,,,,,,,,,,,,,,,,,,,,,,,
598,Stephen Peall ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,1.0,55.0,78.0,82.0,91.0,,,,,,,,,,,,,,,,,,,,,,,
599,John Rennie ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,27.0,47.0,,81.0,103.0,139.0,159.0,183.0,,,,,,,,,,,,,,,,,,,
600,Heath Streak ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,25.0,71.0,134.0,295.0,423.0,755.0,891.0,1292.0,1848.0,1966.0,2435.0,2752.0,2943.0,,,,,,,,,,,,,,
601,Guy Whittall ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,106.0,163.0,269.0,502.0,1028.0,1360.0,1731.0,2230.0,2613.0,2646.0,2705.0,,,,,,,,,,,,,,,,
602,Steven Rhodes ,England,,,,,,,,,,,,,,,,,,,,9.0,,,,,85.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,
603,Craig White ,England,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,113.0,187.0,,,333.0,337.0,489.0,568.0,,,,,,,,,,,,,,,,
604,Gavin Larsen ,New Zealand,,,,,,,,,,,,,,,,,,,,,2.0,19.0,78.0,201.0,337.0,444.0,455.0,558.0,,629.0,,,,,,,,,,,,,,,,,,,,
605,Heath Davis ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,
606,Wayne James ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,35.0,49.0,101.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
607,Ashfaq Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
608,Darren Gough ,England,,,,,,,,,,,,,,,,,,,,,,,,,10.0,78.0,173.0,203.0,221.0,329.0,359.0,415.0,455.0,469.0,514.0,590.0,609.0,,,,,,,,,,,,,
609,John Crawley ,England,,,,,,,,,,,,,,,,,,,,,,,,,18.0,34.0,44.0,180.0,,235.0,,,,,,,,,,,,,,,,,,,,
610,Joseph Benjamin ,England,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
611,Ravindra Pushpakumara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,17.0,20.0,34.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,
612,Sanjeeva Ranatunga ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,222.0,248.0,253.0,,,,,,,,,,,,,,,,,,,,,,,
613,Chaminda Vaas ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,47.0,119.0,310.0,353.0,422.0,654.0,864.0,1079.0,1332.0,1481.0,1586.0,1703.0,1871.0,1934.0,2025.0,,,,,,,,,,,
614,Kabir Khan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,7.0,,10.0,,,,,,,,,,,,,,,,,,,
615,Michael Bevan ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,432.0,526.0,1286.0,2014.0,2973.0,3922.0,4803.0,5384.0,5850.0,6634.0,6912.0,,,,,,,,,,,,,,,
616,Damien Fleming ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,19.0,,30.0,48.0,101.0,152.0,,,,,,,,,,,,,,,,,,
617,Philip Emery ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
618,Paul Strang ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,38.0,106.0,332.0,695.0,955.0,1015.0,1071.0,1090.0,,,,,,,,,,,,,,,,,,
619,Darrin Murray ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
620,Cameron Cuffy ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,21.0,25.0,,,,53.0,62.0,,,,,,,,,,,,,,,,,
621,Rajindra Dhanraj ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
622,Aashish Kapoor ,India,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,43.0,,,,43.0,,,,,,,,,,,,,,,,,,,
623,Steven Jack ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
624,Phillipus Steyn ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
625,Greg Blewett ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,192.0,474.0,,551.0,,,,,,,,,,,,,,,,,,,,
626,Sherwin Campbell ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,3.0,441.0,703.0,841.0,,1588.0,2209.0,2283.0,,,,,,,,,,,,,,,,,,
627,Stuart Carlisle ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,66.0,79.0,,453.0,1139.0,2221.0,2372.0,,2676.0,2740.0,,,,,,,,,,,,,,
628,Bryan Strang ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,38.0,,38.0,81.0,92.0,,,,,,,,,,,,,,,,,,
629,Iain Butchart ,Zimbabwe,,,,,,,,,,,,,,82.0,,,,180.0,,,,,240.0,240.0,250.0,252.0,,,,,,,,,,,,,,,,,,,,,,,,
630,Henry Olonga ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,6.0,25.0,46.0,48.0,92.0,95.0,,,,,,,,,,,,,,,,
631,Courtney Browne ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,155.0,172.0,,,187.0,187.0,,,222.0,415.0,,,,,,,,,,,,,,
632,Kerry Walmsley ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
633,Chamara Dunusinghe ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
634,Peter Martin ,England,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,33.0,,38.0,,,,,,,,,,,,,,,,,,,,,
635,Dominic Cork ,England,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,11.0,25.0,92.0,132.0,,,,174.0,180.0,,,,,,,,,,,,,,,,,
636,Ottis Gibson ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,138.0,141.0,,,,,,,,,,,,,,,,,,,,,,
637,Nicholas Knight ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,277.0,522.0,1183.0,1620.0,1924.0,2446.0,3298.0,3637.0,,,,,,,,,,,,,,,,
638,Michael Watkinson ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
639,Alan Wells ,England,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,
640,Saleem Elahi ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,437.0,463.0,509.0,,644.0,805.0,1271.0,1454.0,1579.0,,,,,,,,,,,,,,,
641,Saqlain Mushtaq ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,162.0,344.0,415.0,509.0,618.0,650.0,694.0,711.0,,,,,,,,,,,,,,,,
642,Mohammad Akram ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,13.0,13.0,13.0,14.0,,,,,,,,,,,,,,,,,,,
643,Ijaz Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
644,Craig Wishart ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,233.0,644.0,644.0,756.0,1229.0,1283.0,1716.0,,1719.0,,,,,,,,,,,,,,
645,Alan Lock ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
646,Lee Germon ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.0,475.0,519.0,,,,,,,,,,,,,,,,,,,,,,
647,Roger Twose ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,612.0,650.0,,1473.0,2540.0,2717.0,,,,,,,,,,,,,,,,,,
648,Shaun Pollock ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,598.0,887.0,1165.0,1350.0,1460.0,1822.0,1992.0,2270.0,2556.0,2935.0,3476.0,3519.0,,,,,,,,,,,
649,Stuart Law ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,117.0,228.0,821.0,1145.0,1206.0,1237.0,,,,,,,,,,,,,,,,,,,,
650,Ricky Ponting ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,929.0,1004.0,2170.0,3208.0,3718.0,4546.0,5428.0,6582.0,7422.0,8613.0,9411.0,10835.0,11113.0,12311.0,13082.0,13686.0,13704.0,,,,,,,
651,Craig Spearman ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,485.0,491.0,531.0,674.0,931.0,936.0,,,,,,,,,,,,,,,,,,
652,Jacques Kallis ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,794.0,1606.0,2550.0,3850.0,4698.0,5902.0,6497.0,7267.0,7954.0,8327.0,9314.0,9871.0,10409.0,11002.0,11372.0,11498.0,11574.0,11579.0,,,,,
653,Paul Adams ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,25.0,25.0,27.0,33.0,33.0,66.0,,,,,,,,,,,,,,,,
654,Kelaniyage Silva ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
655,Nathan Astle ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,974.0,1621.0,2512.0,3081.0,3926.0,4661.0,5280.0,5540.0,6030.0,6458.0,7044.0,7090.0,,,,,,,,,,,,
656,Robert Kennedy ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
657,Geoffrey Allott ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,14.0,17.0,,,,,,,,,,,,,,,,,,,
658,Robert Samuels ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,54.0,,,,,,,,,,,,,,,,,,,,,,
659,Patterson Thompson ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
660,Vikram Rathore ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,193.0,,,,,,,,,,,,,,,,,,,,,,
661,Sunil Joshi ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,127.0,181.0,387.0,565.0,584.0,,,,,,,,,,,,,,,,,,
662,Paras Mhambrey ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,
663,Venkatesh Prasad ,India,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,50.0,75.0,119.0,177.0,211.0,221.0,,,,,,,,,,,,,,,,,,
664,Alan Mullally ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,24.0,45.0,64.0,86.0,,,,,,,,,,,,,,,,,,
665,Ronald Irani ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,78.0,,,,,293.0,360.0,,,,,,,,,,,,,,,,
666,Sourav Ganguly ,India,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,272.0,1610.0,2938.0,4705.0,6284.0,7097.0,8211.0,8967.0,9914.0,10123.0,,11363.0,,,,,,,,,,,,
667,Rahul Dravid ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,475.0,1426.0,1709.0,3470.0,4450.0,5190.0,6103.0,6726.0,7751.0,8843.0,9762.0,10585.0,,10765.0,,10889.0,,,,,,,,
668,Mark Ealham ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,87.0,275.0,446.0,684.0,716.0,,,,,,,,,,,,,,,,,,
669,Shadab Kabir ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
670,Robert Croft ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,101.0,180.0,300.0,310.0,345.0,,,,,,,,,,,,,,,,,,
671,Craig Evans ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,35.0,,,43.0,254.0,491.0,665.0,667.0,,,764.0,,,,,,,,,,,,,,,,,
672,Andrew Whittall ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,28.0,131.0,167.0,168.0,,,,,,,,,,,,,,,,,,,
673,Brad Hogg ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,38.0,264.0,412.0,507.0,620.0,705.0,790.0,,,,,,,,,,,
674,Shahid Nazir ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,25.0,,25.0,25.0,,,,,,,,,,,,,,,,,,,
675,Azam Khan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,116.0,,,,,,,,,,,,,,,,,,,,,
676,Hasan Raza ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,76.0,122.0,242.0,,,,,,,,,,,,,,,,,,,,
677,Mohammad Hussain ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,154.0,,,,,,,,,,,,,,,,,,,,,
678,Everton Matambanadzo ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,
679,Mpumelelo Mbangwa ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,24.0,24.0,33.0,,34.0,,,,,,,,,,,,,,,,,
680,Matthew Elliott ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
681,Michael Kasprowicz ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,45.0,60.0,62.0,,,,62.0,73.0,74.0,,,,,,,,,,,,,,
682,Mohammad Wasim ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,385.0,499.0,,543.0,,,,,,,,,,,,,,,,,,,
683,Zahoor Elahi ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,297.0,,,,,,,,,,,,,,,,,,,,,,
684,V V S Laxman ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,86.0,627.0,1240.0,1472.0,2309.0,2338.0,2338.0,,,,,,,,,,,,,
685,Herschelle Gibbs ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,232.0,292.0,1097.0,1673.0,2519.0,3829.0,4522.0,4920.0,5646.0,6342.0,7222.0,7635.0,8060.0,8094.0,,,,,,,,,
686,Lance Klusener ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,567.0,864.0,1718.0,2535.0,2780.0,3290.0,3381.0,3576.0,,,,,,,,,,,,,,,
687,Jason Gillespie ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,65.0,,81.0,105.0,114.0,160.0,167.0,223.0,289.0,,,,,,,,,,,,,,
688,Mohammad Zahid ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15.0,,,,15.0,,,,,,,,,,,,,,,,,
689,Andrew Waller ,Zimbabwe,,,,,,,,,,,,,,,,,,125.0,,,,,349.0,445.0,488.0,503.0,713.0,818.0,,,,,,,,,,,,,,,,,,,,,,
690,Christopher Silverwood ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,,,,17.0,,,,,,,,,,,,,,,,,,
691,Adam Bacher ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,168.0,,,,,,,270.0,,,,,,,,,,,,,,
692,Doddanarasiah Ganesh ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
693,Adrian Griffith ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,,54.0,99.0,,,,,,,,,,,,,,,,,,,
694,Andy Bichel ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,99.0,,,,191.0,434.0,471.0,,,,,,,,,,,,,,,
695,Daniel Vettori ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,136.0,208.0,256.0,342.0,481.0,588.0,723.0,980.0,1201.0,1311.0,1456.0,1715.0,2039.0,2105.0,,2110.0,2151.0,2253.0,,,,
696,Matthew Horne ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,419.0,840.0,,,980.0,,,,,,,,,,,,,,,,,
697,Franklyn Rose ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,83.0,,217.0,,,,,,,,,,,,,,,,,,,
698,Roland Holder ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,75.0,186.0,292.0,486.0,599.0,,,,,,,,,,,,,,,,,,,,,,
699,Abey Kuruvilla ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,
700,Nuwan Zoysa ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,42.0,66.0,183.0,230.0,,332.0,343.0,,343.0,,,,,,,,,,,,
701,Sajeewa de Silva ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,35.0,35.0,38.0,39.0,,,,,,,,,,,,,,,,,,,
702,Merwyn Dillon ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,66.0,139.0,151.0,156.0,200.0,215.0,227.0,,,,,,,,,,,,,,
703,Russel Arnold ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,14.0,519.0,1049.0,1900.0,2653.0,2810.0,2911.0,3291.0,3737.0,3950.0,,,,,,,,,,,,
704,Floyd Reifer ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,31.0,,,,,,,,,,117.0,,,,,,,,,,
705,Dean Headley ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,10.0,22.0,,,,,,,,,,,,,,,,,,,,
706,Nilesh Kulkarni ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,,,,,,,,,,,,,,,,,,,,,
707,Mahela Jayawardene ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,842.0,1396.0,2656.0,3447.0,3760.0,4436.0,4958.0,6143.0,7232.0,7849.0,8518.0,9027.0,10059.0,10844.0,11401.0,12247.0,12650.0,,,,
708,Adam Hollioake ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,197.0,456.0,606.0,,,,,,,,,,,,,,,,,,,,
709,Ben Hollioake ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,118.0,122.0,,259.0,309.0,,,,,,,,,,,,,,,,,
710,Debashish Mohanty ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,9.0,10.0,28.0,,,,,,,,,,,,,,,,,,
711,Adam Huckle ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,
712,Shayne O'Connor ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,21.0,22.0,24.0,,,,,,,,,,,,,,,,,,,
713,Gavin Rennie ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,250.0,332.0,404.0,432.0,585.0,,635.0,,,,,,,,,,,,,,,,
714,Azhar Mahmood ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,187.0,452.0,795.0,1073.0,1206.0,1309.0,1387.0,1435.0,1492.0,,1521.0,,,,,,,,,,,,
715,Mark Boucher ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,316.0,907.0,1077.0,1691.0,2063.0,2325.0,2795.0,3508.0,4139.0,4329.0,4639.0,4664.0,4686.0,,,,,,,,
716,Craig McMillan ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,739.0,1064.0,1425.0,2091.0,2942.0,3215.0,3699.0,4148.0,4150.0,4707.0,,,,,,,,,,,,
717,Lanka de Silva ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,
718,Arshad Khan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,0.0,,15.0,,21.0,42.0,80.0,105.0,,,,,133.0,133.0,,,,,,,,,,,,,
719,Rawl Lewis ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,89.0,157.0,,,,,,,172.0,205.0,248.0,291.0,,,,,,,,,,
720,Philo Wallace ,West Indies,,,,,,,,,,,,,,,,,,,,,,155.0,214.0,,,,217.0,257.0,550.0,554.0,701.0,,,,,,,,,,,,,,,,,,,
721,Shoaib Akhtar ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,56.0,81.0,86.0,98.0,249.0,296.0,332.0,344.0,345.0,,373.0,391.0,394.0,,,,,,,,
722,Murray Goodwin ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,1322.0,1818.0,,,,,,,,,,,,,,,,,,,
723,Stuart MacGill ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
724,Nixon McLean ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,15.0,134.0,215.0,309.0,,314.0,,,,,,,,,,,,,,,,
725,Mohammad Yousuf ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,1049.0,2210.0,2798.0,4160.0,5328.0,6096.0,6981.0,7608.0,8650.0,9242.0,9543.0,9720.0,,,,,,,,,
726,Fazl-E-Akbar ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,7.0,,,,,,,,,,,,,,,,,,
727,Dinanath Ramnarine ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,5.0,,,,,,,,,,,,,,,,,,
728,Gavin Robertson ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,,,45.0,,,,,,,,,,,,,,,,,,,,,
729,Harvinder Singh ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,6.0,,,,,,,,,,,,,,,,,,
730,Trevor Madondo ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,51.0,154.0,191.0,,,,,,,,,,,,,,,,,,
731,Dirk Viljoen ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,125.0,153.0,355.0,512.0,,,,,,,,,,,,,,,,,,
732,Paul Wilson ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,
733,Makhaya Ntini ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.0,6.0,26.0,71.0,134.0,145.0,149.0,186.0,188.0,199.0,,,,,,,,,,
734,Harbhajan Singh ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,165.0,280.0,355.0,417.0,525.0,679.0,829.0,911.0,1049.0,1083.0,1190.0,,,,1237.0,,,,
735,Darren Lehmann ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,27.0,706.0,1527.0,,1727.0,2247.0,2714.0,2989.0,3078.0,,,,,,,,,,,,,,
736,Adam Dale ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,44.0,63.0,78.0,,,,,,,,,,,,,,,,,,,
737,Gerhardus Liebenberg ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,94.0,,,,,,,,,,,,,,,,,,,,,
738,Paul Wiseman ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,36.0,43.0,,45.0,,,,,,,,,,,,,,,,
739,M Bandarathilake ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
740,C Bandara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,129.0,,160.0,160.0,,,,,,,,,
741,Ashley Giles ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,17.0,31.0,38.0,95.0,159.0,255.0,385.0,,,,,,,,,,,,,,
742,Steven Elworthy ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,51.0,71.0,,100.0,,,,,,,,,,,,,,,,,
743,Andrew Flintoff ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,306.0,450.0,847.0,1478.0,2111.0,2601.0,2703.0,3090.0,3391.0,3394.0,,,,,,,,,,
744,Suresh Perera ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,53.0,,195.0,,,,,,,,,,,,,,,,,,
745,Shahid Afridi ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,1155.0,1604.0,2069.0,2673.0,3128.0,3871.0,3887.0,4125.0,4765.0,4880.0,5239.0,5517.0,5830.0,6431.0,6893.0,7075.0,7516.0,7870.0,8064.0,,,,
