Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Graham Yallop ,Australia,,,,,,,,,19.0,125.0,63.0,111.0,,396.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Yardley ,Australia,,,,,,,,,7.0,,,28.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Young ,New Zealand,,,,,,,,,,,,,,,,,,,,,92.0,30.0,,92.0,606.0,177.0,102.0,261.0,171.0,137.0,,,,,,,,,,,,,,,,,,,,
Waqar Younis ,Pakistan,,,,,,,,,,,,,,,,,,,,9.0,31.0,38.0,47.0,126.0,41.0,43.0,92.0,44.0,67.0,11.0,190.0,116.0,97.0,17.0,,,,,,,,,,,,,,,,
Saleem Yousuf ,Pakistan,,,,,,,,,,,,,0.0,,1.0,8.0,76.0,191.0,137.0,28.0,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Zoehrer ,Australia,,,,,,,,,,,,,,,,,17.0,104.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zulquarnain ,Pakistan,,,,,,,,,,,,,,,,4.0,12.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruwan Kalpage ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,90.0,228.0,325.0,96.0,11.0,23.0,37.0,34.0,,,,,,,,,,,,,,,,,,,,
Pubudu Dassanayake ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,25.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar Dharmasena ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,46.0,102.0,238.0,252.0,211.0,,9.0,174.0,8.0,156.0,26.0,,,,,,,,,,,,,,,
Clive Eksteen ,South Africa,,,,,,,,,,,,,,,,,,,,,,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Hart ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,0.0,,,0.0,,,12.0,,,,,,,,,,,,,,,,,
Matthew Hayden ,Australia,,,,,,,,,,,,,,,,,,,,,,,,102.0,184.0,,,,,,191.0,311.0,878.0,1037.0,946.0,482.0,103.0,1601.0,298.0,,,,,,,,,,,
Stephen Fleming ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,348.0,514.0,708.0,423.0,806.0,332.0,577.0,457.0,772.0,681.0,921.0,439.0,390.0,669.0,,,,,,,,,,,,
Nayan Mongia ,India,,,,,,,,,,,,,,,,,,,,,,,,,105.0,134.0,338.0,130.0,373.0,188.0,4.0,,,,,,,,,,,,,,,,,,,
Shivnarine Chanderpaul ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,49.0,260.0,515.0,599.0,158.0,960.0,104.0,448.0,624.0,246.0,668.0,650.0,948.0,912.0,578.0,531.0,398.0,130.0,,,,,,,,
Stuart Williams ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,300.0,341.0,97.0,626.0,137.0,85.0,,,,,,,,,,,,,,,,,,,,
Dulip Samaraweera ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,28.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Bruk-Jackson ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Dekker ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,134.0,116.0,84.0,5.0,40.0,,,,,,,,,,,,,,,,,,,,,,,
Stephen Peall ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,1.0,54.0,23.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
John Rennie ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,27.0,20.0,,34.0,22.0,36.0,20.0,24.0,,,,,,,,,,,,,,,,,,,
Heath Streak ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,25.0,46.0,63.0,161.0,128.0,332.0,136.0,401.0,556.0,118.0,469.0,317.0,191.0,,,,,,,,,,,,,,
Guy Whittall ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,106.0,57.0,106.0,233.0,526.0,332.0,371.0,499.0,383.0,33.0,59.0,,,,,,,,,,,,,,,,
Steven Rhodes ,England,,,,,,,,,,,,,,,,,,,,9.0,,,,,76.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
Craig White ,England,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,113.0,74.0,,,146.0,4.0,152.0,79.0,,,,,,,,,,,,,,,,
Gavin Larsen ,New Zealand,,,,,,,,,,,,,,,,,,,,,2.0,17.0,59.0,123.0,136.0,107.0,11.0,103.0,,71.0,,,,,,,,,,,,,,,,,,,,
Heath Davis ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,
Wayne James ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,35.0,14.0,52.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Ashfaq Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Gough ,England,,,,,,,,,,,,,,,,,,,,,,,,,10.0,68.0,95.0,30.0,18.0,108.0,30.0,56.0,40.0,14.0,45.0,76.0,19.0,,,,,,,,,,,,,
John Crawley ,England,,,,,,,,,,,,,,,,,,,,,,,,,18.0,16.0,10.0,136.0,,55.0,,,,,,,,,,,,,,,,,,,,
Joseph Benjamin ,England,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Ravindra Pushpakumara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,17.0,3.0,14.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Sanjeeva Ranatunga ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,222.0,26.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
Chaminda Vaas ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,47.0,72.0,191.0,43.0,69.0,232.0,210.0,215.0,253.0,149.0,105.0,117.0,168.0,63.0,91.0,,,,,,,,,,,
Kabir Khan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,5.0,,3.0,,,,,,,,,,,,,,,,,,,
Michael Bevan ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,432.0,94.0,760.0,728.0,959.0,949.0,881.0,581.0,466.0,784.0,278.0,,,,,,,,,,,,,,,
Damien Fleming ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,5.0,,11.0,18.0,53.0,51.0,,,,,,,,,,,,,,,,,,
Philip Emery ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Strang ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,38.0,68.0,226.0,363.0,260.0,60.0,56.0,19.0,,,,,,,,,,,,,,,,,,
Darrin Murray ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Cuffy ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,1.0,4.0,,,,28.0,9.0,,,,,,,,,,,,,,,,,
Rajindra Dhanraj ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Aashish Kapoor ,India,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,37.0,,,,0.0,,,,,,,,,,,,,,,,,,,
Steven Jack ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Phillipus Steyn ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Greg Blewett ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,81.0,282.0,,77.0,,,,,,,,,,,,,,,,,,,,
Sherwin Campbell ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,3.0,438.0,262.0,138.0,,747.0,621.0,74.0,,,,,,,,,,,,,,,,,,
Stuart Carlisle ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,53.0,13.0,,374.0,686.0,1082.0,151.0,,304.0,64.0,,,,,,,,,,,,,,
Bryan Strang ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,13.0,21.0,,0.0,43.0,11.0,,,,,,,,,,,,,,,,,,
Iain Butchart ,Zimbabwe,,,,,,,,,,,,,,82.0,,,,98.0,,,,,60.0,0.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Henry Olonga ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,0.0,19.0,21.0,2.0,44.0,3.0,,,,,,,,,,,,,,,,
Courtney Browne ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,102.0,17.0,,,15.0,0.0,,,35.0,193.0,,,,,,,,,,,,,,
Kerry Walmsley ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
Chamara Dunusinghe ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Peter Martin ,England,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,29.0,,5.0,,,,,,,,,,,,,,,,,,,,,
Dominic Cork ,England,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,14.0,67.0,40.0,,,,42.0,6.0,,,,,,,,,,,,,,,,,
Ottis Gibson ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,88.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Nicholas Knight ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,277.0,245.0,661.0,437.0,304.0,522.0,852.0,339.0,,,,,,,,,,,,,,,,
Michael Watkinson ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Alan Wells ,England,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Elahi ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,126.0,26.0,46.0,,135.0,161.0,466.0,183.0,125.0,,,,,,,,,,,,,,,
Saqlain Mushtaq ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,132.0,182.0,71.0,94.0,109.0,32.0,44.0,17.0,,,,,,,,,,,,,,,,
Mohammad Akram ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Ijaz Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
Craig Wishart ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,171.0,411.0,0.0,112.0,473.0,54.0,433.0,,3.0,,,,,,,,,,,,,,
Alan Lock ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
Lee Germon ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.0,385.0,44.0,,,,,,,,,,,,,,,,,,,,,,
Roger Twose ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,391.0,38.0,,823.0,1067.0,177.0,,,,,,,,,,,,,,,,,,
Shaun Pollock ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,438.0,289.0,278.0,185.0,110.0,362.0,170.0,278.0,286.0,379.0,541.0,43.0,,,,,,,,,,,
Stuart Law ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,117.0,111.0,593.0,324.0,61.0,31.0,,,,,,,,,,,,,,,,,,,,
Ricky Ponting ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,733.0,75.0,1166.0,1038.0,510.0,828.0,882.0,1154.0,840.0,1191.0,798.0,1424.0,278.0,1198.0,771.0,604.0,18.0,,,,,,,
Craig Spearman ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,391.0,6.0,40.0,143.0,257.0,5.0,,,,,,,,,,,,,,,,,,
Jacques Kallis ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,519.0,812.0,944.0,1300.0,848.0,1204.0,595.0,770.0,687.0,373.0,987.0,557.0,538.0,593.0,370.0,126.0,76.0,5.0,,,,,
Paul Adams ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,15.0,0.0,2.0,6.0,0.0,33.0,,,,,,,,,,,,,,,,
Kelaniyage Silva ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Astle ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,560.0,647.0,891.0,569.0,845.0,735.0,619.0,260.0,490.0,428.0,586.0,46.0,,,,,,,,,,,,
Robert Kennedy ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
Geoffrey Allott ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,7.0,3.0,,,,,,,,,,,,,,,,,,,
Robert Samuels ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,47.0,,,,,,,,,,,,,,,,,,,,,,
Patterson Thompson ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Vikram Rathore ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,34.0,,,,,,,,,,,,,,,,,,,,,,
Sunil Joshi ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,13.0,54.0,206.0,178.0,19.0,,,,,,,,,,,,,,,,,,
Paras Mhambrey ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,0.0,,,,,,,,,,,,,,,,,,,,,
Venkatesh Prasad ,India,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,41.0,25.0,44.0,58.0,34.0,10.0,,,,,,,,,,,,,,,,,,
Alan Mullally ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,2.0,21.0,19.0,22.0,,,,,,,,,,,,,,,,,,
Ronald Irani ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,9.0,,,,,215.0,67.0,,,,,,,,,,,,,,,,
Sourav Ganguly ,India,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,269.0,1338.0,1328.0,1767.0,1579.0,813.0,1114.0,756.0,947.0,209.0,,1240.0,,,,,,,,,,,,
Rahul Dravid ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,475.0,951.0,283.0,1761.0,980.0,740.0,913.0,623.0,1025.0,1092.0,919.0,823.0,,180.0,,124.0,,,,,,,,
Mark Ealham ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,47.0,188.0,171.0,238.0,32.0,,,,,,,,,,,,,,,,,,
Shadab Kabir ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Robert Croft ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,86.0,79.0,120.0,10.0,35.0,,,,,,,,,,,,,,,,,,
Craig Evans ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,35.0,,,8.0,211.0,237.0,174.0,2.0,,,97.0,,,,,,,,,,,,,,,,,
Andrew Whittall ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,23.0,103.0,36.0,1.0,,,,,,,,,,,,,,,,,,,
Brad Hogg ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,0.0,226.0,148.0,95.0,113.0,85.0,85.0,,,,,,,,,,,
Shahid Nazir ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,8.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,
Azam Khan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,3.0,,,,,,,,,,,,,,,,,,,,,
Hasan Raza ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,47.0,46.0,120.0,,,,,,,,,,,,,,,,,,,,
Mohammad Hussain ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,103.0,,,,,,,,,,,,,,,,,,,,,
Everton Matambanadzo ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,
Mpumelelo Mbangwa ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,13.0,0.0,9.0,,1.0,,,,,,,,,,,,,,,,,
Matthew Elliott ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Michael Kasprowicz ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,45.0,15.0,2.0,,,,0.0,11.0,1.0,,,,,,,,,,,,,,
Mohammad Wasim ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,296.0,114.0,,44.0,,,,,,,,,,,,,,,,,,,
Zahoor Elahi ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,82.0,,,,,,,,,,,,,,,,,,,,,,
V V S Laxman ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,24.0,541.0,613.0,232.0,837.0,29.0,0.0,,,,,,,,,,,,,
Herschelle Gibbs ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,149.0,60.0,805.0,576.0,846.0,1310.0,693.0,398.0,726.0,696.0,880.0,413.0,425.0,34.0,,,,,,,,,
Lance Klusener ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,472.0,297.0,854.0,817.0,245.0,510.0,91.0,195.0,,,,,,,,,,,,,,,
Jason Gillespie ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,57.0,,16.0,24.0,9.0,46.0,7.0,56.0,66.0,,,,,,,,,,,,,,
Mohammad Zahid ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14.0,,,,0.0,,,,,,,,,,,,,,,,,
Andrew Waller ,Zimbabwe,,,,,,,,,,,,,,,,,,125.0,,,,,224.0,96.0,43.0,15.0,210.0,105.0,,,,,,,,,,,,,,,,,,,,,,
Christopher Silverwood ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.0,,,,0.0,,,,,,,,,,,,,,,,,,
Adam Bacher ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,45.0,,,,,,,102.0,,,,,,,,,,,,,,
Doddanarasiah Ganesh ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Adrian Griffith ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,49.0,,4.0,45.0,,,,,,,,,,,,,,,,,,,
Andy Bichel ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,57.0,,,,92.0,243.0,37.0,,,,,,,,,,,,,,,
Daniel Vettori ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,65.0,72.0,48.0,86.0,139.0,107.0,135.0,257.0,221.0,110.0,145.0,259.0,324.0,66.0,,5.0,41.0,102.0,,,,
Matthew Horne ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,152.0,421.0,,,140.0,,,,,,,,,,,,,,,,,
Franklyn Rose ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,27.0,,134.0,,,,,,,,,,,,,,,,,,,
Roland Holder ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,75.0,111.0,106.0,194.0,113.0,,,,,,,,,,,,,,,,,,,,,,
Abey Kuruvilla ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,
Nuwan Zoysa ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,33.0,24.0,117.0,47.0,,102.0,11.0,,0.0,,,,,,,,,,,,
Sajeewa de Silva ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,27.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
Merwyn Dillon ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,61.0,73.0,12.0,5.0,44.0,15.0,12.0,,,,,,,,,,,,,,
Russel Arnold ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,505.0,530.0,851.0,753.0,157.0,101.0,380.0,446.0,213.0,,,,,,,,,,,,
Floyd Reifer ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,22.0,,,,,,,,,,86.0,,,,,,,,,,
Dean Headley ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,
Nilesh Kulkarni ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,
Mahela Jayawardene ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,744.0,554.0,1260.0,791.0,313.0,676.0,522.0,1185.0,1089.0,617.0,669.0,509.0,1032.0,785.0,557.0,846.0,403.0,,,,
Adam Hollioake ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,169.0,259.0,150.0,,,,,,,,,,,,,,,,,,,,
Ben Hollioake ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,55.0,4.0,,137.0,50.0,,,,,,,,,,,,,,,,,
Debashish Mohanty ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,1.0,18.0,,,,,,,,,,,,,,,,,,
Adam Huckle ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,
Shayne O'Connor ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
Gavin Rennie ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,244.0,82.0,72.0,28.0,153.0,,50.0,,,,,,,,,,,,,,,,
Azhar Mahmood ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,146.0,265.0,343.0,278.0,133.0,103.0,78.0,48.0,57.0,,29.0,,,,,,,,,,,,
Mark Boucher ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,248.0,591.0,170.0,614.0,372.0,262.0,470.0,713.0,631.0,190.0,310.0,25.0,22.0,,,,,,,,
Craig McMillan ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,467.0,325.0,361.0,666.0,851.0,273.0,484.0,449.0,2.0,557.0,,,,,,,,,,,,
Lanka de Silva ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,
Arshad Khan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,0.0,,15.0,,6.0,21.0,38.0,25.0,,,,,28.0,0.0,,,,,,,,,,,,,
Rawl Lewis ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,51.0,68.0,,,,,,,15.0,33.0,43.0,43.0,,,,,,,,,,
Philo Wallace ,West Indies,,,,,,,,,,,,,,,,,,,,,,155.0,59.0,,,,3.0,40.0,293.0,4.0,147.0,,,,,,,,,,,,,,,,,,,
Shoaib Akhtar ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,12.0,25.0,5.0,12.0,151.0,47.0,36.0,12.0,1.0,,28.0,18.0,3.0,,,,,,,,
Murray Goodwin ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,600.0,496.0,,,,,,,,,,,,,,,,,,,
Stuart MacGill ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Nixon McLean ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,7.0,119.0,81.0,94.0,,5.0,,,,,,,,,,,,,,,,
Mohammad Yousuf ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,570.0,1161.0,588.0,1362.0,1168.0,768.0,885.0,627.0,1042.0,592.0,301.0,177.0,,,,,,,,,
Fazl-E-Akbar ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,0.0,,,,,,,,,,,,,,,,,,
Dinanath Ramnarine ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,
Gavin Robertson ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,38.0,,,,,,,,,,,,,,,,,,,,,
Harvinder Singh ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,
Trevor Madondo ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,41.0,103.0,37.0,,,,,,,,,,,,,,,,,,
Dirk Viljoen ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,61.0,28.0,202.0,157.0,,,,,,,,,,,,,,,,,,
Paul Wilson ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,
Makhaya Ntini ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.0,1.0,20.0,45.0,63.0,11.0,4.0,37.0,2.0,11.0,,,,,,,,,,
Harbhajan Singh ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,156.0,115.0,75.0,62.0,108.0,154.0,150.0,82.0,138.0,34.0,107.0,,,,47.0,,,,
Darren Lehmann ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,10.0,679.0,821.0,,200.0,520.0,467.0,275.0,89.0,,,,,,,,,,,,,,
Adam Dale ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,19.0,15.0,,,,,,,,,,,,,,,,,,,
Gerhardus Liebenberg ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,82.0,,,,,,,,,,,,,,,,,,,,,
Paul Wiseman ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,13.0,7.0,,2.0,,,,,,,,,,,,,,,,
M Bandarathilake ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
C Bandara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,44.0,,31.0,0.0,,,,,,,,,
Ashley Giles ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,10.0,14.0,7.0,57.0,64.0,96.0,130.0,,,,,,,,,,,,,,
Steven Elworthy ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,37.0,20.0,,29.0,,,,,,,,,,,,,,,,,
