Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bharathi Arun ,India,,,,,,,,,,,,,,,,,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvan Atapattu ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,8.0,,35.0,,,,84.0,879.0,744.0,787.0,942.0,1084.0,1192.0,812.0,729.0,498.0,592.0,143.0,,,,,,,,,,,,
Michael Atherton ,England,,,,,,,,,,,,,,,,,,,,,99.0,236.0,,,466.0,267.0,404.0,255.0,64.0,,,,,,,,,,,,,,,,,,,,,
Charles Athey ,England,,,,,,,,,,,83.0,,,,,,142.0,619.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Austin ,West Indies,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshad Ayub ,India,,,,,,,,,,,,,,,,,,10.0,66.0,34.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirtivardhan Azad ,India,,,,,,,,,,,34.0,92.0,,56.0,56.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Azharuddin ,India,,,,,,,,,,,,,,,,444.0,528.0,517.0,481.0,282.0,522.0,229.0,652.0,769.0,689.0,286.0,931.0,1104.0,1268.0,408.0,268.0,,,,,,,,,,,,,,,,,,,
Sheik Bacchus ,West Indies,,,,,,,,,0.0,,157.0,75.0,145.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bailey ,England,,,,,,,,,,,,,,,,41.0,,11.0,43.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bairstow ,England,,,,,,,,,,56.0,99.0,21.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikander Bakht ,Pakistan,,,,,,,,0.0,16.0,3.0,0.0,3.0,3.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
